a	aː
schënnerinnen	ʃənəʀinən
schëpp	ʃəp
schëppen	ʃəpən
geschëppt	gəʃəpt
schësselchen	ʃəsəlɕən
schësselcher	ʃəsəlɕɐ
schësser	ʃəsɐ
schëtter	ʃətɐ
schëtzeg	ʃətsəɕ
schi	ʃiː
schier	ʃiːɐ
schibedier	ʃiːbədiːɐ
schibedieren	ʃiːbədiːʀən
schicht	ʃiɕt
schichten	ʃiɕtən
schick	ʃik
schicksal	ʃikzaːl
schicksaler	ʃikzaːlɐ
schicksalsschlag	ʃikzaːlsʃlaːχ
schicksalsschléi	ʃikzaːlsʃlɜɪ
schiedegen	ʃiədəʑən
geschiedegt	gəʃiədəɕt
schiedlech	ʃiədləɕ
schiel	ʃiəl
schielen	ʃiələn
geschielt	gəʃiəlt
schierbel	ʃiːɐbəl
schierbelen	ʃiːɐbələn
schierbelchen	ʃiːɐbəlɕən
schierbelcher	ʃiːɐbəlɕɐ
schieren	ʃiːɐʀən
geschuer	gəʃuəɐ
schierm	ʃiːɐm
schiermer	ʃiːɐmɐ
schiertech	ʃiːɐtəɕ
schiertecher	ʃiːɐtəɕɐ
schiet	ʃiət
schieter	ʃiətɐ
schif	ʃiːf
schifer	ʃiːfɐ
schifertafel	ʃiːfɐtaːfəl
schifertafelen	ʃiːfɐtaːfələn
schiffen	ʃifən
geschifft	gəʃift
schifgoen	ʃiːfgoːən
schifgaangen	ʃiːfgaːŋən
schifueren	ʃiːfuːɐʀən
schifuerer	ʃiːfuːɐʀɐ
schifuererin	ʃiːfuːɐʀəʀin
schifuererinnen	ʃiːfuːɐʀəʀinən
schigebitt	ʃigəbit
schigebidder	ʃigəbidɐ
schiggeri	ʃigʒeʀiː
schiidsriichter	ʃiːtsʀiːɕtɐ
schiidsriichterin	ʃiːtsʀiːɕtəʀin
schiidsriichterinnen	ʃiːtsʀiːɕtəʀinən
schikan	ʃikaːn
schikanen	ʃikaːnən
schikanéieren	ʃikɑnɜɪəʀən
schikanéiert	ʃikɑnɜɪɐt
schilddrüs	ʃiltdʀyːs
schilddrüsen	ʃiltdʀysən
schildkröt	ʃiltkʀøːt
schildkröten	ʃiltkʀøːtən
schiltzbierg	ʃiltsbiːɐɕ
schimmeg	ʃiməɕ
schimmel	ʃiməl
schimmelen	ʃimələn
schimmeleg	ʃimələɕ
schimmer	ʃimɐ
schimmeren	ʃiməʀən
geschimmert	gəʃimɐt
schimmt	ʃimt
schinn	ʃin
schinnen	ʃinən
schinnebeen	ʃinəbeːn
geschinnt	gəʃint
schippelchen	ʃipəlɕən
schippelcher	ʃipəlɕɐ
schlaakseg	ʃlaːksəɕ
schlaang	ʃlaːŋ
schlaangen	ʃlaːŋən
schlabbereg	ʃlɑbəʀəɕ
schlabberen	ʃlɑbəʀən
geschlabbert	gəʃlɑbɐt
schlag	ʃlaːχ
schléi	ʃlɜɪ
schlagfäerdeg	ʃlaːχfɛːɐdəɕ
schlagméisseg	ʃlaːχmɜɪsəɕ
schlagsahn	ʃlaːχsaːn
schlagsahnstaart	ʃlaːχsaːnʃtaːʀt
schlagsahnstaarten	ʃlaːχsaːnʃtaːʀtən
schlagsahnstäertchen	ʃlaːχsaːnstɛːɐtɕən
schlagsahnstäertercher	ʃlaːχsaːnstɛːɐtɐɕɐ
schlagzeil	ʃlaːχtsɑɪl
schlagzeilen	ʃlaːχtsɑɪlən
schläich	ʃlæːɪɕ
schläichen	ʃlæːɪɕən
geschlach	gəʃlɑχ
schläichspur	ʃlæːɪɕʃpuːʀ
schläichspuren	ʃlæːɪɕʃpuːʀən
schläichwee	ʃlæːɪɕveː
schläichweeër	ʃlæːɪɕveːɐ
schläifen	ʃlæːɪfən
geschlaff	gəʃlɑf
schläifsteen	ʃlæːɪfʃteːn
schläifsteng	ʃlæːɪfʃtæŋ
schläim	ʃlæːɪm
schläimeg	ʃlæːɪməɕ
schläimen	ʃlæːɪmən
geschläimt	gəʃlæːɪmt
schläimhaut	ʃlæːɪmhæːʊt
schläimhait	ʃlæːɪmhɑɪt
schläimschësser	ʃlæːɪmʃəsɐ
schläiss	ʃlæːɪs
schläissen	ʃlæːɪsən
geschlass	gəʃlɑs
schlak	ʃlɑk
schlaken	ʃlaːkən
schlamassel	ʃlɑmɑsəl
schlamm	ʃlɑm
schlängelen	ʃlæŋələn
geschlängelt	gəʃlæŋəlt
schlank	ʃlɑŋk
schlapp	ʃlɑp
schlappen	ʃlɑpən
schläpp	ʃlæp
schläppchen	ʃlæpɕən
schläppercher	ʃlæpɐɕɐ
schlappekino	ʃlɑpəkinoː
geschlappt	gəʃlɑpt
schlass	ʃlɑs
schlässer	ʃlæsɐ
schlassbréck	ʃlɑsbʀek
schlassbrécken	ʃlɑsbʀekən
schlassdier	ʃlɑsdiːɐ
schlassdieren	ʃlɑsdiːʀən
schlau	ʃlɑʊ
schlauch	ʃlæːʊχ
schlauchboot	ʃlæːʊχboːt
schlauchbooter	ʃlæːʊχboːtɐ
schlaudinn	ʃlɑʊdin
schlaugedoen	ʃlɑʊgədoːən
schlaudoen	ʃlɑʊdoːən
schlauheet	ʃlɑʊheːt
schlawittchen	ʃlɑvitɕən
schlecht	ʃlæɕt
schlechtegkeet	ʃlæɕtəɕkeːt
schléck	ʃlek
schlécken	ʃlekən
geschléckt	gəʃlekt
schleef	ʃleːf
schleefen	ʃleːfən
geschleeft	gəʃleːft
schleek	ʃleːk
schleeken	ʃleːkən
schleekenhaischen	ʃleːkənhɑɪsjən
schleekenhaisercher	ʃleːkənhɑɪzɐɕɐ
schlëff	ʃləf
schleider	ʃlɑɪdɐ
schleideren	ʃlɑɪdəʀən
geschleidert	gəʃlɑɪdɐt
schleidergefor	ʃlɑɪdɐgəfoːʀ
schleier	ʃlɑɪɐ
schleieren	ʃlɑɪəʀən
schléier	ʃlɜɪɐ
schléif	ʃlɜɪf
schléiwen	ʃlɜɪvən
schléifreg	ʃlɜɪfʀəɕ
schléifregkeet	ʃlɜɪfʀəɕkeːt
schleis	ʃlɑɪs
schleisen	ʃlɑɪzən
geschleist	gəʃlɑɪst
schléissen	ʃlɜɪsən
geschloss	gəʃlos
schlëmm	ʃləm
schléng	ʃleŋ
schléngen	ʃleŋən
schlënnermanescht	ʃlənɐmaːnəʃt
schlësseg	ʃləsəɕ
schlëssel	ʃləsəl
schlësselen	ʃləsələn
schlësselbeen	ʃləsəlbeːn
schlësselchen	ʃləsəlɕən
schlësselcher	ʃləsəlɕɐ
schlësseldéngscht	ʃləsəldeŋʃt
schlësseldéngschter	ʃləsəldeŋʃtɐ
schlëssellach	ʃləsəllɑχ
schlëssellächer	ʃləsəllæɕɐ
schlichten	ʃliɕtən
geschlicht	gəʃliɕt
schlichtung	ʃliɕtuŋ
schlichtungen	ʃliɕtuŋən
schlidder	ʃlidɐ
schlidderen	ʃlidəʀən
geschliddert	gəʃlidɐt
schliisslech	ʃliːsləɕ
schlippchen	ʃlipɕən
schlippercher	ʃlipɐɕɐ
schlitt	ʃlit
schlitter	ʃlitɐ
schlittschong	ʃlitʃoŋ
schlittschongfueren	ʃlitʃoŋfuəʀən
schlitz	ʃlits
schlitzen	ʃlitsən
schlo	ʃloː
schloen	ʃloːən
geschloen	gəʃloːən
schlof	ʃloːf
schlofen	ʃloːfən
geschlof	gəʃloːf
schloff	ʃlof
schlofkummer	ʃloːfkumɐ
schlofkummeren	ʃloːfkuməʀən
schloflidd	ʃloːflit
schloflidder	ʃloːflidɐ
schlofliddchen	ʃloːflitɕən
schlofliddercher	ʃloːflidɐɕɐ
schlofmutz	ʃloːfmuts
schlofmutzen	ʃloːfmutsən
schlofsak	ʃloːfzaːk
schlofsäck	ʃloːfzæk
schlofwandelen	ʃloːfvɑndələn
geschlofwandelt	gəʃloːfvɑndəlt
schlofwandler	ʃloːfvɑndlɐ
schlofwandlerin	ʃloːfvɑndləʀin
schlofwandlerinnen	ʃloːfvɑndləʀinən
schlofzëmmer	ʃloːftsəmɐ
schloper	ʃloːpɐ
schloperen	ʃloːpəʀən
schloreen	ʃloːʀeːn
schlucht	ʃluχt
schluchten	ʃluχtən
schluecht	ʃluəɕt
schluechten	ʃluəɕtən
geschluecht	gəʃluəɕt
schluechtfeld	ʃluəɕtfælt
schluechtfelder	ʃluəɕtfəldɐ
schluechthaus	ʃluəɕthæːʊs
schluechthaiser	ʃluəɕthɑɪzɐ
schluet	ʃluət
schliet	ʃliət
schluetwäiss	ʃluətvæːɪs
schlupp	ʃlup
schluppen	ʃlupən
geschluppt	gəʃlupt
schluss	ʃlus
schlussendlech	ʃlusəndləɕ
schlussfolgerung	ʃlusfolʑəʀuŋ
schlussfolgerungen	ʃlusfolʑəʀuŋən
schluutjen	ʃluːʒən
schlutercher	ʃlutɐɕɐ
schmaachen	ʃmaːχən
geschmaacht	gəʃmaːχt
schmächteg	ʃmæɕtəɕ
schmäcksen	ʃmæksən
geschmäckst	gəʃmækst
schmadd	ʃmɑt
schmatten	ʃmɑtən
schmäissen	ʃmæːɪsən
geschmass	gəʃmɑs
schmalz	ʃmɑlts
schmalzeg	ʃmɑltsəɕ
schmant	ʃmɑ̃ː
schmarotzer	ʃmɑʀotsɐ
schmasseg	ʃmɑsəɕ
schmëdd	ʃmət
schmëtten	ʃmətən
schmeechelen	ʃmeːɕələn
geschmeechelt	gəʃmeːɕəlt
schmeechler	ʃmeːɕlɐ
schmeechlerin	ʃmeːɕləʀin
schmeechlerinnen	ʃmeːɕləʀinən
schmeechlesch	ʃmeːɕləʃ
schmeechleschen	ʃmeːɕləʃən
schmeier	ʃmɑɪɐ
schmelz	ʃmælts
schmelzen	ʃmæltsən
schmelzaarbechter	ʃmæltsaːɐbəɕtɐ
schmelzaarbechterin	ʃmæltsaːɐbəɕtəʀin
schmelzaarbechterinnen	ʃmæltsaːɐbəɕtəʀinən
schmëlzen	ʃməltsən
geschmolt	gəʃmolt
schmidden	ʃmidən
geschmitt	gəʃmit
schmier	ʃmiːɐ
schmieren	ʃmiːɐʀən
schmierchen	ʃmiːɐɕən
schmierercher	ʃmiːʀɐɕɐ
schmiereg	ʃmiːʀəɕ
geschmiert	gəʃmiːɐt
schmink	ʃmiŋk
schminken	ʃmiŋkən
geschminkt	gəʃmiŋkt
schminni	ʃminiː
schminnien	ʃminiːən
schmock	ʃmok
schmöker	ʃmøːkɐ
schmökeren	ʃmøːkəʀən
schmorri	ʃmɔʀiː
schmotzeg	ʃmotsəɕ
schmuddeleg	ʃmudələɕ
schmuebel	ʃmuəbəl
schmuebelen	ʃmuəbələn
schmuel	ʃmuəl
schmuewel	ʃmuəvəl
schmuewelen	ʃmuəvələn
schmuggel	ʃmuχgəl
schmuggelen	ʃmuχgələn
geschmuggelt	gəʃmygʒælt
schmuggler	ʃmuχglɐ
schmugglerin	ʃmuχgləʀin
schmugglerinnen	ʃmuχgləʀinən
schmull	ʃmul
schmunzelen	ʃmuntsələn
geschmunzelt	gəʃmuntsəlt
schmunzen	ʃmuntsən
geschmunzt	gəʃmuntst
schmusen	ʃmuzən
geschmuust	gəʃmuːst
schna	ʃnaː
schnaarchen	ʃnaːʀɕən
geschnaarcht	gəʃnaːʀɕt
schnabbel	ʃnɑbəl
schnabbelen	ʃnɑbələn
schnabbeleg	ʃnɑbələɕ
geschnabbelt	gəʃnɑbəlt
schnaddereg	ʃnɑdəʀəɕ
schnadderen	ʃnɑdəʀən
geschnaddert	gəʃnɑdɐt
schnäizen	ʃnæːɪtsən
geschnäizt	gəʃnæːɪtst
schnall	ʃnɑl
schnallen	ʃnɑlən
geschnallt	gəʃnɑlt
schnapen	ʃnaːpən
geschnaapt	gəʃnaːpt
schnapp	ʃnɑp
schnäppchen	ʃnæpɕən
schnappech	ʃnɑpəɕ
schnappecher	ʃnɑpəɕɐ
schnappen	ʃnɑpən
geschnappt	gəʃnɑpt
schnappschoss	ʃnɑpʃos
schnappschëss	ʃnɑpʃəs
schnapsiddi	ʃnɑpsidiː
schnapsiddien	ʃnɑpsidiːən
schnatt	ʃnɑt
schnëtt	ʃnət
schnatz	ʃnɑts
schnätz	ʃnæts
schnauer	ʃnɑʊɐ
schnaueren	ʃnɑʊəʀən
schnauz	ʃnæːʊts
schnauzen	ʃnæːʊtsən
schneekeg	ʃneːkəɕ
schneeken	ʃneːkən
geschneekt	gəʃneːkt
schneekerei	ʃneːkəʀɑɪ
schneekereien	ʃneːkəʀɑɪən
schneekert	ʃneːkɐt
schneekerten	ʃneːkɐtən
schneekesch	ʃneːkəʃ
schneekeschen	ʃneːkəʃən
schnéi	ʃnɜɪ
schnéibiesem	ʃnɜɪbiəzəm
schnéibiesemen	ʃnɜɪbiəzəmən
schnéibull	ʃnɜɪbul
schnéibullen	ʃnɜɪbulən
schneid	ʃnɑɪt
schneiden	ʃnɑɪdən
geschnidden	gəʃnidən
schneider	ʃnɑɪdɐ
schneideren	ʃnɑɪdəʀən
schneidersëtz	ʃnɑɪdɐzəts
schneidesch	ʃnɑɪdəʃ
schneideschen	ʃnɑɪdəʃən
schneien	ʃnɑɪən
geschneit	gəʃnɑɪt
schnéierchen	ʃnɜɪɐɕən
schnéiercher	ʃnɜɪɐɕɐ
schnéigläckelchen	ʃnɜɪʑlækəlɕən
schnéigläckelcher	ʃnɜɪʑlækəlɕɐ
schnéigléckelchen	ʃnɜɪglekəlɕən
schnéigléckelcher	ʃnɜɪglekəlɕɐ
schnéiketten	ʃnɜɪkætən
schnéikläckelchen	ʃnɜɪklækəlɕən
schnéikläckelcher	ʃnɜɪklækəlɕɐ
schnéiklatz	ʃnɜɪklɑts
schnéiklatzen	ʃnɜɪklɑtsən
schnéimännchen	ʃnɜɪmænɕən
schnéimännercher	ʃnɜɪmænɐɕɐ
schneis	ʃnɑɪs
schneisen	ʃnɑɪzən
schnéistuerm	ʃnɜɪʃtuːɐm
schnéistierm	ʃnɜɪʃtiːɐm
schnéiwäiss	ʃnɜɪvæːɪs
schnéiwick	ʃnɜɪvik
schnéiwicken	ʃnɜɪvikən
schnell	ʃnæl
schnellegkeet	ʃnæləɕkeːt
schnellzuch	ʃnæltsuχ
schnellzich	ʃnæltsiɕ
schnëppel	ʃnəpəl
schnëppelen	ʃnəpələn
geschnëppelt	gəʃnəpəlt
schnëss	ʃnəʃ
schnëssen	ʃnəsən
schnëssbatti	ʃnəsbɑtiː
schnëssbattien	ʃnəsbɑtiːən
geschnësst	gəʃnəst
schnëssert	ʃnəsɐt
schnësserten	ʃnəsɐtən
schnëssesch	ʃnəsəʃ
schnësseschen	ʃnəsəʃən
schnësskätti	ʃnəʃkætiː
schnësskättien	ʃnəʃkætiːən
schnëttpunkt	ʃnətpuŋkt
schnëttpunkten	ʃnətpuŋktən
schnëtzelen	ʃnətsələn
geschnëtzelt	gəʃnətsəlt
schnëtzen	ʃnətsən
geschnëtzt	gəʃnətst
schnicki	ʃnikiː
schnickien	ʃnikiən
schniddelchen	ʃnidəlɕən
schniddelcher	ʃnidəlɕɐ
schniewel	ʃniəvəl
schniewelen	ʃniəvələn
schniewelchen	ʃniəvəlɕən
schniewelcher	ʃniəvəlɕɐ
schnittchen	ʃnitɕən
schnittercher	ʃnitɐɕɐ
schnoffelen	ʃnofələn
geschnoffelt	gəʃnofəlt
schnoffeler	ʃnofəlɐ
schnoffelesch	ʃnofələʃ
schnoffeleschen	ʃnofələʃən
schnok	ʃnok
schnoken	ʃnokən
schnorchel	ʃnɔʀɕəl
schnorchelen	ʃnɔʀɕələn
geschnorchelt	gəʃnɔʀɕəlt
schnouer	ʃnəʊɐ
schnéier	ʃnɜɪɐ
schnuddel	ʃnudəl
schnuddelen	ʃnudələn
geschnuddelt	gəʃnudəlt
schnuddeler	ʃnudəlɐ
schnuddelesch	ʃnudələʃ
schnuddeleschen	ʃnudələʃən
schnuddelhong	ʃnudəlhoŋ
schnuddelhénger	ʃnudəlheŋɐ
schnuff	ʃnuf
schnuffen	ʃnufən
schnulz	ʃnults
schnulzen	ʃnultsən
schnulzeg	ʃnultsəɕ
schnupperen	ʃnupəʀən
geschnuppert	gəʃnupɐt
schnurres	ʃnuʀəs
schnurressen	ʃnuʀəsən
schock	ʃok
schocken	ʃokən
schockant	ʃokɑnt
schockéieren	ʃokɜɪəʀən
schockéiert	ʃokɜɪɐt
schockela	ʃokəlaː
schockelasglace	ʃokəlaːsglɑs
schockelasglacen	ʃokəlaːsglɑsən
schockelaskuch	ʃokəlaːskuχ
schockelaskuchen	ʃokəlaːskuχən
schockelasmëllech	ʃokəlaːsmələɕ
schockelasmousse	ʃokəlaːsməʊsə
schockelasmoussen	ʃokəlaːsməʊsən
schockelaspudding	ʃokəlaːspudiŋ
schockelaspuddingen	ʃokəlaːspudɛ̃ːʒən
geschockt	gəʃokt
schocki	ʃokiː
schockien	ʃokiən
schof	ʃoːf
schofshäerd	ʃoːfshɛːɐt
schofshäerden	ʃoːfshɛːɐdən
schofskéis	ʃoːfskɜɪs
schofskéisen	ʃoːfskɜɪzən
schofspelz	ʃoːfʃpælts
schofspelzer	ʃoːfʃpæltsɐ
schofswoll	ʃoːfsvol
schofswollen	ʃoːfsvolən
schold	ʃolt
scholden	ʃoldən
scholdaasch	ʃoltaːʃ
scholdeesch	ʃolteːʃ
scholdgefill	ʃoltgəfil
scholdgefiller	ʃoltgəfilɐ
scholdschäin	ʃoltʃæːɪn
scholdschäiner	ʃoltʃæːɪnɐ
schong	ʃoŋ
schongbuttek	ʃoŋbutek
schongbutteker	ʃoŋbutekɐ
schongkëscht	ʃoŋkəʃt
schongkëschten	ʃoŋkəʃtən
schongläffel	ʃoŋlæfəl
schongläffelen	ʃoŋlæfələn
schongstréckel	ʃoŋʃtʀekəl
schongstréckelen	ʃoŋʃtʀekələn
schongsuel	ʃoŋzuəl
schongsuelen	ʃoŋsuələn
schongwichs	ʃoŋviks
schongwichsen	ʃoŋviksən
schonn	ʃon
schonns	ʃons
schoss	ʃos
schossel	ʃosəl
schosselen	ʃosələn
geschosselt	gəʃosəlt
schotz	ʃots
schëtz	ʃəts
schoul	ʃəʊl
schoulen	ʃəʊlən
schoulausbildung	ʃəʊlæːʊsbilduŋ
schoulausfluch	ʃəʊlæːʊsfluχ
schoulausflich	ʃəʊlæːʊsfliɕ
schoulbänk	ʃəʊlbæŋk
schoulbänken	ʃəʊlbæŋkən
schoulbuch	ʃəʊlbuχ
schoulbicher	ʃəʊlbiɕɐ
schoulbus	ʃəʊlbus
schoulbussen	ʃəʊlbusən
schouldirectrice	ʃəʊldiːʀæktʀis
schouldirectricen	ʃəʊldiːʀæktʀisən
schouldirekter	ʃəʊldiʀæktɐ
schouldirekteren	ʃəʊldiʀæktəʀən
schouldokter	ʃəʊldoktɐ
schouldokteren	ʃəʊldoktəʀən
schouldoktesch	ʃəʊldoktəʃ
schouldokteschen	ʃəʊldoktəʃən
geschoult	gəʃəʊlt
schoulesch	ʃəʊləʃ
schoulfach	ʃəʊlfɑχ
schoulfächer	ʃəʊlfæɕɐ
schoulflichteg	ʃəʊlfliɕtəɕ
schoulfräi	ʃəʊlfʀæːɪ
schoulgebai	ʃəʊlgəbɑɪ
schoulgebaier	ʃəʊlgəbɑɪɐ
schoulgesetz	ʃəʊlgəzæts
schoulgesetzer	ʃəʊlgəzætsɐ
schoulhaff	ʃəʊlhɑf
schoulhäff	ʃəʊlhæf
schouljoer	ʃəʊljoːɐ
schouljoren	ʃəʊljoːʀən
schouljoffer	ʃəʊljofɐ
schouljofferen	ʃəʊljofəʀən
schoulkand	ʃəʊlkɑnt
schoulkanner	ʃəʊlkɑnɐ
schoulkantin	ʃəʊlkɑntin
schoulkantinnen	ʃəʊlkɑntinən
schoulklass	ʃəʊlklɑs
schoulklassen	ʃəʊlklɑsən
schoulkolleeg	ʃəʊlkoleːɕ
schoulkolleegen	ʃəʊlkoleːʑən
schoulkolleegin	ʃəʊlkoleːʑin
schoulkolleeginnen	ʃəʊlkoleːʑinən
schoulkomerod	ʃəʊlkoməʀoːt
schoulkomeroden	ʃəʊlkoməʀoːdən
schoulkomerodin	ʃəʊlkoməʀoːtɛ̃ː
schoulkomerodinnen	ʃəʊlkoməʀoːtinən
schoulmeeschter	ʃəʊlmeːʃtɐ
schoulmeeschteren	ʃəʊlmeːʃtəʀən
schoulpflichteg	ʃəʊlpfliɕtəɕ
schoulsak	ʃəʊlzaːk
schoulsäck	ʃəʊlzæk
schoulsall	ʃəʊlzɑl
schoulsäll	ʃəʊlzæl
schoulstonn	ʃəʊlʃton
schoulstonnen	ʃəʊlʃtonən
schoulsystem	ʃəʊlsiːstəm
schoulsystemer	ʃəʊlsiːstəmɐ
schoulufank	ʃəʊlufɑŋk
schoulufäng	ʃəʊlufæŋ
schoulvakanz	ʃəʊlvɑkɑnts
schoulvakanzen	ʃəʊlvɑkɑntsən
schoulzäit	ʃəʊltsæːɪt
schoulzäiten	ʃəʊltsæːɪtən
schounen	ʃəʊnən
geschount	gəʃəʊnt
schounend	ʃəʊnənt
schous	ʃəʊs
schouschter	ʃəʊʃtɐ
schouschteren	ʃəʊʃtəʀən
schouschtesch	ʃəʊʃtəʃ
schouschteschen	ʃəʊʃtəʃən
schouss	ʃəʊs
schoussmippchen	ʃəʊsmipɕən
schoussmippercher	ʃəʊsmipɐɕɐ
schouster	ʃəʊstɐ
schousteren	ʃəʊstəʀən
schoustesch	ʃəʊstəʃ
schousteschen	ʃəʊstəʃən
schraasseg	ʃʀaːsəɕ
schrack	ʃʀɑk
schréck	ʃʀek
schrafféiert	ʃʀɑfɜɪɐt
schraifchen	ʃʀɑɪfɕən
schraiwercher	ʃʀɑɪvɐɕɐ
schräin	ʃʀæːɪn
schräiner	ʃʀæːɪnɐ
schräinerei	ʃʀæːɪnəʀɑɪ
schräinereien	ʃʀæːɪnɐɑɪən
schräinerin	ʃʀæːɪnəʀin
schräinerinnen	ʃʀæːɪnəʀinən
schräinesch	ʃʀæːɪnəʃ
schräineschen	ʃʀæːɪnəʃən
schratt	ʃʀɑt
schrëtt	ʃʀət
schrauf	ʃʀɑʊf
schrauwen	ʃʀɑʊvən
schraufstack	ʃʀɑʊfʃtɑk
schraufstäck	ʃʀɑʊfʃtæk
geschrauft	gəʃʀɑʊft
schrauwenzéier	ʃʀɑʊvəntsɜɪɐ
schrauweschlëssel	ʃʀɑʊvəʃləsəl
schrauweschlësselen	ʃʀɑʊvəʃləsələn
schreck	ʃʀæk
schrecklech	ʃʀækləɕ
schrëft	ʃʀəft
schrëften	ʃʀəftən
schrëftlech	ʃʀəftləɕ
schrëftsteller	ʃʀəftʃtælɐ
schrëftstellerin	ʃʀəftʃtæləʀin
schrëftstellerinnen	ʃʀəftʃtæləʀinən
schrëftstellerverband	ʃʀəftʃtælɐfɐbɑnt
schrëftstellerverbänn	ʃʀəftʃtælɐfɐbæn
schréi	ʃʀɜɪ
schréien	ʃʀɜɪən
schreifdësch	ʃʀɑɪfdəʃ
schreifdëscher	ʃʀɑɪfdəʃɐ
schreiffeeler	ʃʀɑɪffeːlɐ
schreiffehler	ʃʀɑɪffeːlɐ
schreifmaschinn	ʃʀɑɪfmɑʃin
schreifmaschinnen	ʃʀɑɪfmɑʃinən
schreifweis	ʃʀɑɪfvɑɪs
schreifweisen	ʃʀɑɪfvɑɪzən
schréip	ʃʀɜɪp
schréipen	ʃʀɜɪpən
geschréipt	gəʃʀɜɪpt
schréips	ʃʀɜɪps
schréipsen	ʃʀɜɪpsən
geschréipst	gəʃʀɜɪpst
schréit	ʃʀɜɪt
schréiten	ʃʀɜɪtən
schreiwen	ʃʀɑɪvən
geschriwwen	gəʃʀivən
schreiwes	ʃʀɑɪvəs
schreiwessen	ʃʀɑɪvəsən
schro	ʃʀoː
schrompeleg	ʃʀompələɕ
schrondweiler	ʃʀontvɑɪlɐ
schrott	ʃʀot
schrout	ʃʀəʊt
schroutflënt	ʃʀutflənt
schroutflënten	ʃʀutfləntən
schruppen	ʃʀupən
geschruppt	gəʃʀupt
schruppert	ʃʀupɐt
schrupperten	ʃʀupɐtən
schubkar	ʃubkaːʀ
schubkaren	ʃubkaːʀən
schubs	ʃubs
schubsen	ʃubzən
geschubst	gəʃubst
schuckeleg	ʃukələɕ
schudderen	ʃudəʀən
geschuddert	gəʃudɐt
schued	ʃuət
schied	ʃiət
schuedeck	ʃuədæk
schueden	ʃuədən
geschuet	gəʃuət
schuel	ʃuəl
schuelen	ʃuələn
schueren	ʃuəʀən
schüler	ʃyːlɐ
schüleraustausch	ʃyːləʀæːʊstæːʊʃ
schüleraustauschen	ʃyːləʀæːʊstæːʊʃən
schülerin	ʃyːləʀin
schülerinnen	ʃyːləʀinən
schülerzuel	ʃyːlɐtsuəl
schuller	ʃulɐ
schummen	ʃumən
geschummt	gəʃumt
schummereg	ʃuməʀəɕ
schuppen	ʃupən
geschuppt	gəʃupt
schutz	ʃuts
schutzblech	ʃutsblæɕ
schutzblecher	ʃutsblæɕɐ
schützen	ʃytsən
geschützt	gəʃytst
schutzengel	ʃutsæŋəl
schutzengelen	ʃutsæŋələn
schutzfunktioun	ʃutsfuŋksjəʊn
schutzfunktiounen	ʃutsfuŋktsjəʊnən
schützling	ʃytsliŋ
schützlingen	ʃytsliŋən
schwaach	ʃwaːχ
schwaachfalen	ʃwaːχfaːlən
schwaachgefall	ʃwaːχgəfɑl
schwaachpunkt	ʃwaːχpuŋkt
schwaachpunkten	ʃwaːχpuŋktən
schwaarm	ʃwaːɐm
schwäerm	ʃwɛːɐm
schwaart	ʃwaːʀt
schwaarten	ʃwaːʀtən
schwaarz	ʃwaːʀts
schwaarzaarbechter	ʃwaːʀtsaːɐbəɕtɐ
schwaarzaarbechterin	ʃwaːʀtsaːɐbəɕtəʀin
schwaarzaarbechterinnen	ʃwaːʀtsaːɐbəɕtəʀinən
schwaarzbier	ʃwaːʀtsbiːɐ
schwaarzbieren	ʃwaːʀtsbiːʀən
schwaarzmaart	ʃwaːʀtsmaːʀt
schwabbeleg	ʃwɑbələɕ
schwabbelen	ʃwɑbələn
geschwabbelt	gəʃwɑbəlt
schwächen	ʃwæɕən
geschwächt	gəʃwæɕt
schwächlech	ʃwæɕləɕ
schwächt	ʃwæɕt
schwächten	ʃwæɕtən
schwadronéieren	ʃwɑdʀonɜɪəʀən
schwadronéiert	ʃwɑdʀonɜɪɐt
schwäermen	ʃwɛːɐmən
geschwäermt	gəʃwɛːɐmt
schwäermerei	ʃwɛːɐməʀɑɪ
schwäermereien	ʃwɛːɐməʀɑɪən
schwäert	ʃwɛːɐt
schwäerter	ʃwɛːɐtɐ
schwäerzen	ʃwɛːɐtsən
geschwäerzt	gəʃwɛːɐtst
schwäin	ʃwæːɪn
schwäistall	ʃwæːɪʃtɑl
schwäiställ	ʃwæːɪʃtæl
schwäiwëll	ʃwæːɪvəl
schwäiz	ʃwæːɪts
schwäizer	ʃwæːɪtsɐ
schwäizeresch	ʃwæːɪtsəʀəʃ
schwäizerin	ʃwæːɪtsəʀin
schwäizerinnen	ʃwæːɪtsəʀinən
schwämm	ʃwæm
schwämmen	ʃwæmən
schwammbaseng	ʃwɑmbɑzeŋ
schwammbasengen	ʃwɑmbɑzæŋən
schwammbasseng	ʃwɑmbɑseŋ
schwammbassengen	ʃwɑmbɑsæŋən
schwammbox	ʃwɑmboks
schwammboxen	ʃwɑmboksən
schwammen	ʃwɑmən
geschwommen	gəʃwomən
schwammkap	ʃwɑmkaːp
schwammkapen	ʃwɑmkaːpən
schwammmeeschter	ʃwɑmmeːʃtɐ
schwammmeeschteren	ʃwɑmmeːʃtəʀən
schwammmeeschterin	ʃwɑmmeːʃtəʀin
schwammmeeschterinnen	ʃwɑmmeːʃtəʀinən
schwammmeeschtesch	ʃwɑmmeːʃtəʃ
schwammmeeschteschen	ʃwɑmmeːʃtəʃən
schwammreef	ʃwɑmʀeːf
